,Entity,Code,Year,Annual CO2 emissions (per capita),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
35,Africa,AFR,2000,1.0936,0.011941,0.1755,75.24581662,2.269063158
36,Africa,AFR,2001,1.0645,0.01496,0.41558,80.86411472,2.335352632
37,Africa,AFR,2002,1.0489,0.01787101,0.443584,85.18146813,2.2864
38,Africa,AFR,2003,1.1094,0.02132901,0.535599,82.87260146,2.6224
39,Africa,AFR,2004,1.1603,0.02576101,0.768280505,87.40546926,2.978849535
40,Africa,AFR,2005,1.1547,0.03067601,0.780382111,89.06573418,3.009669408
41,Africa,AFR,2006,1.1613,0.03895701,0.852565606,92.24435301,3.770404784
42,Africa,AFR,2007,1.1763,0.051533293,1.016223364,95.34056181,3.142048288
43,Africa,AFR,2008,1.1968,0.073232202,1.311778131,97.15720925,3.267395686
44,Africa,AFR,2009,1.1762,0.096152927,1.589230939,99.7611369,3.56272219
45,Africa,AFR,2010,1.1725,0.21252075,2.284582434,107.4268326,3.825406558
46,Africa,AFR,2011,1.1809,0.601454301,2.386503939,110.444821,3.929656611
47,Africa,AFR,2012,1.1456,0.994443126,2.51563024,110.9523002,4.085024546
48,Africa,AFR,2013,1.1227,0.78891014,3.593447303,117.6388464,4.4308941
49,Africa,AFR,2014,1.1837,1.93770017,5.060072834,123.7267948,5.521055906
50,Africa,AFR,2015,1.1191,3.592173384,8.910686283,120.1678361,7.191202122
51,Africa,AFR,2016,1.1189,5.12019689,11.17637067,116.7188052,7.281251193
52,Africa,AFR,2017,1.1131,6.902446607,12.4577741,125.8165222,7.653766329
53,Africa,AFR,2018,1.0865,8.295433824,14.77072335,133.140498,8.097891299
54,Africa,AFR,2019,1.0772,10.90690156,18.85772913,137.2155108,8.22808243
55,Africa,AFR,2020,0.9896,12.40778213,21.78984307,142.5749961,8.068135119
145,Argentina,ARG,1998,3.8668,1.7e-05,0.032541,32.42178788,0.463881203
146,Argentina,ARG,1999,4.0388,2.6e-05,0.034781,26.53007071,0.650455143
147,Argentina,ARG,2000,3.861,3.6e-05,0.034758,34.0340101,0.67501431
148,Argentina,ARG,2001,3.5949,4.3e-05,0.049361,41.90326263,0.60932585
149,Argentina,ARG,2002,3.3011,4.7e-05,0.073405,41.46705051,0.850248638
150,Argentina,ARG,2003,3.5347,6.5e-05,0.077954,39.08008081,1.014079858
151,Argentina,ARG,2004,4.0799,7e-05,0.072446,35.40287879,0.90029509
152,Argentina,ARG,2005,4.1507,8.1e-05,0.071719665,39.35009091,1.074072901
153,Argentina,ARG,2006,4.4441,9e-05,0.06964,43.624,1.567410315
154,Argentina,ARG,2007,4.3908,0.0001089,0.061593,37.741,1.575708696
155,Argentina,ARG,2008,4.6932,0.0001437,0.041951078,37.199,1.693536384
156,Argentina,ARG,2009,4.4204,7.6084e-05,0.036831529,40.783,1.728756162
157,Argentina,ARG,2010,4.5661,8.589e-05,0.025351606,40.543,2.01325481
158,Argentina,ARG,2011,4.6048,0.001614,0.02659055,39.641,2.190205828
159,Argentina,ARG,2012,4.5914,0.008172967,0.369861999,36.876,2.45382161
