Entity,Code,Year,Annual CO2 emissions (per capita),Renewables (% sub energy),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
Africa,AFR,2000,1.0936,6.759,0.011941,0.1755,75.24581662,2.269063158
Africa,AFR,2001,1.0645,6.982,0.01496,0.41558,80.86411472,2.335352632
Africa,AFR,2002,1.0489,7.219,0.01787101,0.443584,85.18146813,2.2864
Africa,AFR,2003,1.1094,6.703,0.02132901,0.535599,82.87260146,2.6224
Africa,AFR,2004,1.1603,6.612,0.02576101,0.768280505,87.40546926,2.978849535
Africa,AFR,2005,1.1547,6.622,0.03067601,0.780382111,89.06573418,3.009669408
Africa,AFR,2006,1.1613,6.745,0.03895701,0.852565606,92.24435301,3.770404784
Africa,AFR,2007,1.1763,6.658,0.051533293,1.016223364,95.34056181,3.142048288
Africa,AFR,2008,1.1968,6.375,0.073232202,1.311778131,97.15720925,3.267395686
Africa,AFR,2009,1.1762,6.413,0.096152927,1.589230939,99.7611369,3.56272219
Africa,AFR,2010,1.1725,6.681,0.21252075,2.284582434,107.4268326,3.825406558
Africa,AFR,2011,1.1809,6.836,0.601454301,2.386503939,110.444821,3.929656611
Africa,AFR,2012,1.1456,6.62,0.994443126,2.51563024,110.9523002,4.085024546
Africa,AFR,2013,1.1227,6.827,0.78891014,3.593447303,117.6388464,4.4308941
Africa,AFR,2014,1.1837,7.042,1.93770017,5.060072834,123.7267948,5.521055906
Africa,AFR,2015,1.1191,7.053,3.592173384,8.910686283,120.1678361,7.191202122
Africa,AFR,2016,1.1189,6.843,5.12019689,11.17637067,116.7188052,7.281251193
Africa,AFR,2017,1.1131,7.239,6.902446607,12.4577741,125.8165222,7.653766329
Africa,AFR,2018,1.0865,7.554,8.295433824,14.77072335,133.140498,8.097891299
Africa,AFR,2019,1.0772,7.874,10.90690156,18.85772913,137.2155108,8.22808243
Africa,AFR,2020,0.9896,8.849,12.40778213,21.78984307,142.5749961,8.068135119
Argentina,ARG,1998,3.8668,13.056,1.70E-05,0.032541,32.42178788,0.463881203
Argentina,ARG,1999,4.0388,10.695,2.60E-05,0.034781,26.53007071,0.650455143
Argentina,ARG,2000,3.861,13.611,3.60E-05,0.034758,34.0340101,0.67501431
Argentina,ARG,2001,3.5949,17.005,4.30E-05,0.049361,41.90326263,0.60932585
Argentina,ARG,2002,3.3011,17.506,4.70E-05,0.073405,41.46705051,0.850248638
Argentina,ARG,2003,3.5347,15.428,6.50E-05,0.077954,39.08008081,1.014079858
Argentina,ARG,2004,4.0799,13.093,7.00E-05,0.072446,35.40287879,0.90029509
Argentina,ARG,2005,4.1507,13.65,8.10E-05,0.071719665,39.35009091,1.074072901
Argentina,ARG,2006,4.4441,14.413,9.00E-05,0.06964,43.624,1.567410315
Argentina,ARG,2007,4.3908,11.898,0.0001089,0.061593,37.741,1.575708696
Argentina,ARG,2008,4.6932,11.564,0.0001437,0.041951078,37.199,1.693536384
Argentina,ARG,2009,4.4204,12.918,7.61E-05,0.036831529,40.783,1.728756162
Argentina,ARG,2010,4.5661,13.02,8.59E-05,0.025351606,40.543,2.01325481
Argentina,ARG,2011,4.6048,12.648,0.001614,0.02659055,39.641,2.190205828
Argentina,ARG,2012,4.5914,11.765,0.008172967,0.369861999,36.876,2.45382161
Argentina,ARG,2013,4.506,12.378,0.015074079,0.453354876,40.7,2.45735005
Argentina,ARG,2014,4.4247,12.577,0.015944,0.619491,40.864,2.302025252
Argentina,ARG,2015,4.4667,12.636,0.014683,0.593334963,41.7709,2.378258598
Argentina,ARG,2016,4.3894,11.753,0.014273,0.547359,38.25439327,1.963408643
Argentina,ARG,2017,4.2744,12.834,0.016417,0.611567,41.54297858,2.383654508
Argentina,ARG,2018,4.0824,12.643,0.10813,1.412743,41.64786518,0.473010421
Argentina,ARG,2019,3.7419,13.38,0.799697913,4.995966424,37.06678706,0.622944562
Argentina,ARG,2020,3.4733,12.886,1.344340935,9.470297617,30.54359219,0.413941191
Australia,AUS,1993,16.5495,4.471,0.0146,0.002,16.387,0.67
Australia,AUS,1994,16.8601,4.251,0.0174,0.0055,16.15,0.6965
Australia,AUS,1995,17.1189,3.978,0.02115,0.007,15.631,0.8255
Australia,AUS,1996,17.3911,3.973,0.0256,0.007,15.9685,0.9465
Australia,AUS,1997,17.7901,3.887,0.03065,0.0075,15.9525,0.997
Australia,AUS,1998,18.2222,3.784,0.0356,0.018,15.798,1.081
Australia,AUS,1999,18.4477,3.757,0.0406,0.043,16.2815,1.1335
Australia,AUS,2000,18.5252,3.788,0.04675,0.134,16.4665,0.8895
Australia,AUS,2001,18.7789,3.686,0.05415,0.287,16.1235,0.7975
Australia,AUS,2002,18.922,3.734,0.0583,0.53355,16.095,1.2668
Australia,AUS,2003,19.0191,3.798,0.0632,0.70405,16.21055,1.6918
Australia,AUS,2004,19.4554,3.782,0.07295,0.795,15.68665,2.81525
Australia,AUS,2005,19.2086,4.01,0.08405,1.29905,15.4657,3.871
Australia,AUS,2006,19.3554,3.918,0.0975,2.1621,14.9451,3.9325
Australia,AUS,2007,19.2159,3.689,0.11375,2.8521,13.04895,4.275
Australia,AUS,2008,19.2034,3.437,0.1392,3.45845,11.81515,3.6961
Australia,AUS,2009,18.4508,3.653,0.29024203,4.43775,12.64205,2.7868
Australia,AUS,2010,18.2595,4.051,0.97764828,4.985,13.746,2.44155
Australia,AUS,2011,17.9849,5.384,2.04454657,6.432,19.572,2.57395
Australia,AUS,2012,17.5806,5.353,2.412,7.725,17.036,3.09785
Australia,AUS,2013,16.907,6.174,3.8474,9.259,19.089,3.33165
Australia,AUS,2014,16.9201,5.65,4.952,9.777,14.484,3.546362
Australia,AUS,2015,16.8507,5.914,6.195524404,11.83300209,14.08659847,3.678061995
Australia,AUS,2016,17.1434,6.778,7.439775697,13.03970488,17.6294521,3.627512928
Australia,AUS,2017,16.8704,6.352,8.91755657,13.21079043,13.49974762,3.561683859
Australia,AUS,2018,16.7081,7.883,12.33254445,16.26195432,17.33836109,3.58814896
Australia,AUS,2019,16.447,8.491,18.2969867,19.47168808,14.1138688,3.467726188
Australia,AUS,2020,15.3684,10.374,23.84266127,22.6068918,14.5346444,3.410424136
Austria,AUT,1995,8.0113,30.104,0.001,0.001,37.067222,1.857221
Austria,AUT,1996,8.4007,27.613,0.001,0.005,34.216111,1.589444
Austria,AUT,1997,8.3721,28.597,0.002,0.02,36.105278,1.711389
Austria,AUT,1998,8.3182,29.059,0.002,0.045,37.163333,1.842777
Austria,AUT,1999,8.1529,30.845,0.002,0.051,40.6991208,1.596911819
Austria,AUT,2000,8.1964,31.53,0.003,0.067,41.83565055,1.52827932
Austria,AUT,2001,8.6615,29.432,0.005,0.172,40.45548165,1.667812
Austria,AUT,2002,8.8443,28.954,0.009,0.203,40.22700281,1.520444
Austria,AUT,2003,9.4731,23.897,0.015,0.366,33.21499204,1.711921
Austria,AUT,2004,9.4523,26.296,0.018,0.924,36.762283,2.05973
Austria,AUT,2005,9.5797,26.583,0.021018375,1.331276757,37.09513834,2.437154339
Austria,AUT,2006,9.269,27.174,0.022386875,1.752792984,35.65608477,3.237502556
Austria,AUT,2007,8.9126,29.45,0.024238375,2.037184927,37.05445286,4.061606911
Austria,AUT,2008,8.808,29.866,0.03011991,2.011257409,38.32949104,4.302304141
Austria,AUT,2009,8.037,32.71,0.04891428,1.954040168,40.89630336,4.277982167
Austria,AUT,2010,8.5613,30.016,0.08881314,2.063913736,38.36341829,4.463430081
Austria,AUT,2011,8.2674,29.106,0.17406996,1.93623636,34.23908351,4.516752009
Austria,AUT,2012,7.9113,34.186,0.33748305,2.462029019,43.80410469,4.608036501
Austria,AUT,2013,7.9192,33.523,0.625974,3.153231562,42.0465273,4.584281709
Austria,AUT,2014,7.4474,34.823,0.785246,3.845768035,41.01025937,4.336296196
Austria,AUT,2015,7.6454,33.145,0.937098,4.840343102,37.05552838,4.503546527
Austria,AUT,2016,7.6841,33.814,1.096016,5.234838273,39.84471615,4.691227039
Austria,AUT,2017,7.8911,32.744,1.268971,6.571511136,38.293433,4.920933436
Austria,AUT,2018,7.4865,32.79,1.455132,6.030429449,37.637911,4.930195781
Austria,AUT,2019,7.5892,33.779,1.702093,7.477363299,40.455346,4.745310238
Austria,AUT,2020,6.7324,36.392,1.590574729,6.794140175,40.95375978,5.253975479
Azerbaijan,AZE,2013,3.752,2.601,0.0008,0.0008,1.4891,0.067
Azerbaijan,AZE,2014,3.8898,2.265,0.0029,0.0023,1.2997,0.087
Azerbaijan,AZE,2015,3.8439,2.571,0.0046,0.0046,1.6375,0.0909
Azerbaijan,AZE,2016,3.8059,3.125,0.0353,0.0228,1.9593,0.08725
Azerbaijan,AZE,2017,3.7307,2.845,0.0372,0.0221,1.7464,0.08515
Azerbaijan,AZE,2018,3.7034,2.866,0.03926,0.0827,1.768,0.0811
Azerbaijan,AZE,2019,3.8541,2.492,0.0442,0.1054,1.5648,0.09795
Azerbaijan,AZE,2020,3.7203,1.869,0.0472,0.0951,1.068,0.098218356
Bangladesh,BGD,2009,0.3368,0.481,0.0251,0.0051,0.417,0.001
Bangladesh,BGD,2010,0.3659,0.813,0.0443,0.0051,0.729,0.002
Bangladesh,BGD,2011,0.3789,0.894,0.0584,0.0051,0.872,0.003
Bangladesh,BGD,2012,0.4019,0.775,0.0909,0.0051,0.777,0.004
Bangladesh,BGD,2013,0.4044,0.74,0.129563,0.005081,0.728378728,0.004993
Bangladesh,BGD,2014,0.427,0.606,0.166947,0.005081,0.566453438,0.006015
Bangladesh,BGD,2015,0.469,0.769,0.198389,0.005081,0.898146455,0.002682
Bangladesh,BGD,2016,0.4841,0.757,0.219999,0.005081,0.884632595,0.002877
Bangladesh,BGD,2017,0.5069,0.841,0.253361,0.005081,1.029528088,0.002877
Bangladesh,BGD,2018,0.5118,0.701,0.275068,0.005081,0.865411112,0.002877
Bangladesh,BGD,2019,0.5778,0.642,0.349231785,0.005081,0.823091189,0.002877
Bangladesh,BGD,2020,0.5637,0.626,0.412784892,0.005081,0.700670737,0.003035367
Belarus,BLR,2013,6.7106,0.204,0.0004,0.008,0.138,0.082
Belarus,BLR,2014,6.6381,0.181,0.002,0.009,0.121,0.079
Belarus,BLR,2015,6.1484,0.238,0.009,0.039,0.111,0.094
Belarus,BLR,2016,6.3364,0.315,0.026,0.073,0.142,0.094
Belarus,BLR,2017,6.3613,0.639,0.089,0.097,0.406,0.106
Belarus,BLR,2018,6.4492,0.544,0.118,0.099,0.324,0.109
Belarus,BLR,2019,6.4558,0.682,0.179,0.166,0.351,0.11
Belarus,BLR,2020,6.0793,0.752,0.181743295,0.183883978,0.353340883,0.11206379
Belgium,BEL,2004,12.2881,0.532,0.001,0.142,0.317,1.037
Belgium,BEL,2005,11.9126,0.753,0.001,0.227,0.288,1.59
Belgium,BEL,2006,11.6657,1.046,0.002,0.366,0.359,2.225
Belgium,BEL,2007,11.2623,1.22,0.006,0.491,0.389,2.6
Belgium,BEL,2008,11.1498,1.512,0.042,0.637,0.41,3.329
Belgium,BEL,2009,9.9183,2.193,0.166,0.996,0.328,3.949
Belgium,BEL,2010,10.4714,2.745,0.56,1.292,0.312,4.330428
Belgium,BEL,2011,9.5358,3.601,1.169,2.312,0.196,4.699934
Belgium,BEL,2012,9.2361,4.512,2.148,2.751,0.357,5.202093
Belgium,BEL,2013,9.2032,4.805,2.644,3.665,0.38,4.98362
Belgium,BEL,2014,8.6325,5.498,2.8862,4.6153,0.2952,4.4732
Belgium,BEL,2015,8.9525,5.976,3.0563,5.574,0.3184,5.5637
Belgium,BEL,2016,8.7959,5.744,3.0952,5.4377,0.37,5.4499
Belgium,BEL,2017,8.7084,6.233,3.3076,6.5137,0.2701,5.777
Belgium,BEL,2018,8.7289,6.684,3.9029,7.4647,0.3135,5.4708
Belgium,BEL,2019,8.644,7.254,4.247,9.7256,0.302,5.2409
Belgium,BEL,2020,7.2262,10.745,5.137378997,13.03086657,0.281926695,5.331659266
Brazil,BRA,2012,2.5005,40.513,0.00098,5.05,415.3421755,35.76567086
Brazil,BRA,2013,2.6484,38.212,0.004793593,6.575862737,390.992014,40.97184609
Brazil,BRA,2014,2.7515,37.224,0.016081802,12.21025167,373.4390605,47.07918279
Brazil,BRA,2015,2.5889,38.448,0.058917412,21.62570216,359.7428082,49.88032083
Brazil,BRA,2016,2.3901,41.315,0.085260592,33.488872,380.9109424,51.33469956
Brazil,BRA,2017,2.4094,40.973,0.831813401,42.37325825,370.9064564,52.91210534
Brazil,BRA,2018,2.3091,43.544,3.461434834,48.47514121,388.9710759,54.38223437
Brazil,BRA,2019,2.3018,44.543,6.654579083,55.98562168,397.8770566,54.92087661
