,Unnamed: 0_x,Entity,Code,Year,Annual CO2 emissions (per capita),Renewable electricity per capita (kWh),Unnamed: 0_y,Renewables (% sub energy),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
0,21,Africa,AFR,2000,1.0936,95.341,35,6.759,0.011941,0.1755,75.24581662,2.269063158
1,22,Africa,AFR,2001,1.0645,101.444,36,6.982,0.01496,0.41558,80.86411472,2.335352632
2,23,Africa,AFR,2002,1.0489,101.457,37,7.219,0.01787101,0.443584,85.18146813,2.2864
3,24,Africa,AFR,2003,1.1094,97.575,38,6.703,0.02132901,0.535599,82.87260146,2.6224
4,25,Africa,AFR,2004,1.1603,101.36,39,6.612,0.02576101,0.768280505,87.40546926,2.978849535
5,26,Africa,AFR,2005,1.1547,101.719,40,6.622,0.03067601,0.780382111,89.06573418,3.009669408
6,27,Africa,AFR,2006,1.1613,102.703,41,6.745,0.03895701,0.852565606,92.24435301,3.770404784
7,28,Africa,AFR,2007,1.1763,102.531,42,6.658,0.051533293,1.016223364,95.34056181,3.142048288
8,29,Africa,AFR,2008,1.1968,102.134,43,6.375,0.073232202,1.311778131,97.15720925,3.267395686
9,30,Africa,AFR,2009,1.1762,103.283,44,6.413,0.096152927,1.589230939,99.7611369,3.56272219
10,31,Africa,AFR,2010,1.1725,112.469,45,6.681,0.21252075,2.284582434,107.4268326,3.825406558
11,32,Africa,AFR,2011,1.1809,110.933,46,6.836,0.601454301,2.386503939,110.444821,3.929656611
12,33,Africa,AFR,2012,1.1456,109.445,47,6.62,0.994443126,2.51563024,110.9523002,4.085024546
13,34,Africa,AFR,2013,1.1227,112.987,48,6.827,0.78891014,3.593447303,117.6388464,4.4308941
14,35,Africa,AFR,2014,1.1837,120.744,49,7.042,1.93770017,5.060072834,123.7267948,5.521055906
15,36,Africa,AFR,2015,1.1191,120.429,50,7.053,3.592173384,8.910686283,120.1678361,7.191202122
16,37,Africa,AFR,2016,1.1189,118.496,51,6.843,5.12019689,11.17637067,116.7188052,7.281251193
17,38,Africa,AFR,2017,1.1131,122.149,52,7.239,6.902446607,12.4577741,125.8165222,7.653766329
18,39,Africa,AFR,2018,1.0865,127.751,53,7.554,8.295433824,14.77072335,133.140498,8.097891299
19,40,Africa,AFR,2019,1.0772,128.136,54,7.874,10.90690156,18.85772913,137.2155108,8.22808243
20,41,Africa,AFR,2020,0.9896,130.3,55,8.849,12.40778213,21.78984307,142.5749961,8.068135119
21,204,Argentina,ARG,1998,3.8668,912.786,145,13.056,1.7e-05,0.032541,32.42178788,0.463881203
22,205,Argentina,ARG,1999,4.0388,746.296,146,10.695,2.6e-05,0.034781,26.53007071,0.650455143
23,206,Argentina,ARG,2000,3.861,792.768,147,13.611,3.6e-05,0.034758,34.0340101,0.67501431
24,207,Argentina,ARG,2001,3.5949,1001.726,148,17.005,4.3e-05,0.049361,41.90326263,0.60932585
25,208,Argentina,ARG,2002,3.3011,968.108,149,17.506,4.7e-05,0.073405,41.46705051,0.850248638
26,209,Argentina,ARG,2003,3.5347,908.688,150,15.428,6.5e-05,0.077954,39.08008081,1.014079858
27,210,Argentina,ARG,2004,4.0799,808.74,151,13.093,7e-05,0.072446,35.40287879,0.90029509
28,211,Argentina,ARG,2005,4.1507,895.793,152,13.65,8.1e-05,0.071719665,39.35009091,1.074072901
29,212,Argentina,ARG,2006,4.4441,1001.021,153,14.413,9e-05,0.06964,43.624,1.567410315
30,213,Argentina,ARG,2007,4.3908,802.08,154,11.898,0.0001089,0.061593,37.741,1.575708696
31,214,Argentina,ARG,2008,4.6932,794.907,155,11.564,0.0001437,0.041951078,37.199,1.693536384
32,215,Argentina,ARG,2009,4.4204,873.211,156,12.918,7.6084e-05,0.036831529,40.783,1.728756162
33,216,Argentina,ARG,2010,4.5661,858.769,157,13.02,8.589e-05,0.025351606,40.543,2.01325481
34,217,Argentina,ARG,2011,4.6048,807.106,158,12.648,0.001614,0.02659055,39.641,2.190205828
35,218,Argentina,ARG,2012,4.5914,767.09,159,11.765,0.008172967,0.369861999,36.876,2.45382161
36,219,Argentina,ARG,2013,4.506,853.872,160,12.378,0.015074079,0.453354876,40.7,2.45735005
37,220,Argentina,ARG,2014,4.4247,828.848,161,12.577,0.015944,0.619491,40.864,2.302025252
38,221,Argentina,ARG,2015,4.4667,812.761,162,12.636,0.014683,0.593334963,41.7709,2.378258598
39,222,Argentina,ARG,2016,4.3894,734.8,163,11.753,0.014273,0.547359,38.25439327,1.963408643
40,223,Argentina,ARG,2017,4.2744,786.578,164,12.834,0.016417,0.611567,41.54297858,2.383654508
41,224,Argentina,ARG,2018,4.0824,765.76,165,12.643,0.10813,1.412743,41.64786518,0.473010421
42,225,Argentina,ARG,2019,3.7419,754.343,166,13.38,0.799697913,4.995966424,37.06678706,0.622944562
43,226,Argentina,ARG,2020,3.4733,784.365,167,12.886,1.344340935,9.470297617,30.54359219,0.413941191
44,353,Australia,AUS,1993,16.5495,969.914,196,4.471,0.0146,0.002,16.387,0.67
45,354,Australia,AUS,1994,16.8601,947.798,197,4.251,0.0174,0.0055,16.15,0.6965
46,355,Australia,AUS,1995,17.1189,916.166,198,3.978,0.02115,0.007,15.631,0.8255
47,356,Australia,AUS,1996,17.3911,931.736,199,3.973,0.0256,0.007,15.9685,0.9465
