,Entity,Code,Year,Annual CO2 emissions (per capita),Renewables (% sub energy)
0,Africa,,1965,0.675,5.526
1,Africa,,1966,0.6814,5.862
2,Africa,,1967,0.7124,6.069
3,Africa,,1968,0.7541,6.73
4,Africa,,1969,0.7938,7.669
5,Africa,,1970,0.8426,8.793
6,Africa,,1971,0.9003,7.666
7,Africa,,1972,0.9284,8.229
8,Africa,,1973,0.9716,8.038
9,Africa,,1974,0.9722,8.718
10,Africa,,1975,0.9438,8.707
11,Africa,,1976,0.9966,8.815
12,Africa,,1977,0.9995,9.207
13,Africa,,1978,1.038,8.939
14,Africa,,1979,1.0894,8.726
15,Africa,,1980,1.1366,7.925
16,Africa,,1981,1.1315,7.4
17,Africa,,1982,1.1465,6.936
18,Africa,,1983,1.159,6.091
19,Africa,,1984,1.2304,5.797
20,Africa,,1985,1.2263,6.203
21,Africa,,1986,1.2352,6.313
22,Africa,,1987,1.2011,5.866
23,Africa,,1988,1.2277,5.979
24,Africa,,1989,1.1502,6.256
25,Africa,,1990,1.0524,6.188
26,Africa,,1991,1.0685,6.569
27,Africa,,1992,1.0101,6.177
28,Africa,,1993,1.0434,6.049
29,Africa,,1994,1.0292,5.931
30,Africa,,1995,1.0767,5.929
31,Africa,,1996,1.0655,6.039
32,Africa,,1997,1.0789,6.08
33,Africa,,1998,1.0853,6.274
34,Africa,,1999,1.0495,6.445
35,Africa,,2000,1.0936,6.759
36,Africa,,2001,1.0645,6.982
37,Africa,,2002,1.0489,7.219
38,Africa,,2003,1.1094,6.703
39,Africa,,2004,1.1603,6.612
40,Africa,,2005,1.1547,6.622
41,Africa,,2006,1.1613,6.745
42,Africa,,2007,1.1763,6.658
43,Africa,,2008,1.1968,6.375
44,Africa,,2009,1.1762,6.413
45,Africa,,2010,1.1725,6.681
46,Africa,,2011,1.1809,6.836
47,Africa,,2012,1.1456,6.62
48,Africa,,2013,1.1227,6.827
49,Africa,,2014,1.1837,7.042
50,Africa,,2015,1.1191,7.053
51,Africa,,2016,1.1189,6.843
52,Africa,,2017,1.1131,7.239
53,Africa,,2018,1.0865,7.554
54,Africa,,2019,1.0772,7.874
55,Africa,,2020,0.9896,8.849
56,Algeria,DZA,1965,0.5249,4.487
57,Algeria,DZA,1966,0.6526,3.313
58,Algeria,DZA,1967,0.6351,4.042
59,Algeria,DZA,1968,0.6624,5.171
60,Algeria,DZA,1969,0.801,2.996
61,Algeria,DZA,1970,1.0411,4.395
62,Algeria,DZA,1971,1.254,2.311
63,Algeria,DZA,1972,1.8528,3.086
64,Algeria,DZA,1973,2.4365,3.933
65,Algeria,DZA,1974,1.9739,2.347
66,Algeria,DZA,1975,1.9269,1.296
67,Algeria,DZA,1976,2.2903,1.317
68,Algeria,DZA,1977,2.3799,0.829
69,Algeria,DZA,1978,3.4501,0.613
70,Algeria,DZA,1979,2.4424,0.544
71,Algeria,DZA,1980,3.4553,0.403
72,Algeria,DZA,1981,2.3376,0.473
73,Algeria,DZA,1982,1.9153,0.536
74,Algeria,DZA,1983,2.4881,0.241
75,Algeria,DZA,1984,3.2599,0.483
76,Algeria,DZA,1985,3.2369,0.684
77,Algeria,DZA,1986,3.2932,0.25
78,Algeria,DZA,1987,3.5283,0.486
79,Algeria,DZA,1988,3.4246,0.166
80,Algeria,DZA,1989,3.1788,0.211
81,Algeria,DZA,1990,2.9791,0.119
82,Algeria,DZA,1991,2.9851,0.261
83,Algeria,DZA,1992,2.9555,0.173
84,Algeria,DZA,1993,2.9652,0.329
85,Algeria,DZA,1994,3.0534,0.153
86,Algeria,DZA,1995,3.3028,0.171
87,Algeria,DZA,1996,3.3071,0.121
88,Algeria,DZA,1997,2.9252,0.07
89,Algeria,DZA,1998,3.5313,0.194
90,Algeria,DZA,1999,2.9934,0.181
91,Algeria,DZA,2000,2.6487,0.05
92,Algeria,DZA,2001,2.6638,0.061
93,Algeria,DZA,2002,2.8067,0.049
94,Algeria,DZA,2003,2.822,0.214
95,Algeria,DZA,2004,2.6873,0.194
96,Algeria,DZA,2005,3.2119,0.408
97,Algeria,DZA,2006,2.9786,0.153
98,Algeria,DZA,2007,3.1727,0.15
99,Algeria,DZA,2008,3.1394,0.176
